Line Number	Encoder Layer	Translation
"Es ist mir wurst, wenn du nicht kommst.
"	0	in a. in a. in a. in a. _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
"Es ist mir wurst, wenn du nicht kommst.
"	1	It's not my job.
"Es ist mir wurst, wenn du nicht kommst.
"	2	I'
"Es ist mir wurst, wenn du nicht kommst.
"	3	It's not my job.
"Es ist mir wurst, wenn du nicht kommst.
"	4	It's me, if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	5	It's me, if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	6	It's been me, if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	7	It's been me if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	8	It's been me if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	9	It's been me if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	10	It's my fault if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	11	I'm sorry if you're not coming.
"Es ist mir wurst, wenn du nicht kommst.
"	12	I'm sorry if you're not coming.
"Es ist mir wurst, wenn du nicht kommst.
"	13	I'm sorry if you're not coming.
"Es ist mir wurst, wenn du nicht kommst.
"	14	I'm not gonna be able to make it if you don't come.
"Es ist mir wurst, wenn du nicht kommst.
"	15	I'm sorry if you're not coming.
"Es ist mir wurst, wenn du nicht kommst.
"	16	I'm sorry if you're not coming.
"Es ist mir wurst, wenn du nicht kommst.
"	17	I'm sorry you won't come.
"Es ist mir wurst, wenn du nicht kommst.
"	18	I'll be sorry if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	19	I'll be sorry if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	20	I'll be sorry if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	21	I'll be sorry if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	22	I'll be sorry if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	23	I'll be damned if you don't show up.
"Es ist mir wurst, wenn du nicht kommst.
"	24	I'll be damned if you don't show up.
"Es ist wurst, ob sich etwas ändert.
"	0	in a t. a.
"Es ist wurst, ob sich etwas ändert.
"	1	It's a nice, nice, now.
"Es ist wurst, ob sich etwas ändert.
"	2	It's a
"Es ist wurst, ob sich etwas ändert.
"	3	It's a good idea.
