Audio File	Transcription
enus_dede_0.mp3	 Es ist mir Wurst, wenn du nicht kommst.
enus_dede_1.mp3	 Es ist Wurst, ob sich etwas ändert.
enus_dede_2.mp3	 Ich habe Bock auf Pizza.
enus_dede_3.mp3	 Er hatte Bock auf einen guten Salat.
enus_dede_4.mp3	 Hat er das wirklich getan? Ich glaube, ich spinne.
enus_dede_5.mp3	 Er kann doch nicht darunter springen? Ich glaube, ich spinne.
enus_dede_6.mp3	 Was er ihr versprach, war auch nicht das Gelbe vom Ei.
enus_dede_7.mp3	 Der Urlaub war nicht gerade das Gelbe vom Ei.
enus_dede_8.mp3	 Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
enus_dede_9.mp3	 Du wirst mir sicher nicht auf der Nase herumtanzen.
enus_dede_10.mp3	 Er hat mir eiskalt eine Abfuhr erteilt.
enus_dede_11.mp3	 Der Politiker erteilte dem Volk eine Abfuhr.
enus_dede_12.mp3	 Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
enus_dede_13.mp3	 Ich habe mir die Pläne fünfmal angesehen, aber ich stand völlig auf der Leitung.
enus_dede_14.mp3	 Sie verstand den Witz nicht, weil sie auf der Leitung stand.
enus_dede_15.mp3	 Er fiel vom Pferd und konnte dann die Radieschen nur mehr von unten sehen.
enus_dede_16.mp3	 Ich wünschte, du würdest die Radieschen nur mehr von unten sehen.
enus_dede_17.mp3	 Der Computer ist kaputt, da ist Hopfen und Malz verloren.
enus_dede_18.mp3	 Ich kann mit ihm nicht reden, bei ihm ist Hopfen und Malz verloren.
enus_dede_19.mp3	 Sei keine beleidigte Leberwurst.
enus_dede_20.mp3	 Sie verhält sich wie eine beleidigte Leberwurst.
enus_dede_21.mp3	 Wenn er nicht kooperiert, werde ich ihm einen Denkzettel verpassen.
enus_dede_22.mp3	 Er will dir doch nur einen Denkzettel verpassen.
enus_dede_23.mp3	 Sie stritten und in ihrem Haus herrschte dicke Luft.
enus_dede_24.mp3	 Als ich die Schule betrat, herrschte dort dicke Luft.
enus_dede_25.mp3	 Stefan war der wahre Drahtzieher der Aktion.
enus_dede_26.mp3	 Wer ist wohl der Drahtzieher hinter allem?
enus_dede_27.mp3	 Der hat doch sicher Dreck am Stecken.
enus_dede_28.mp3	 Er ist mir nicht geheuer, weil der sicher Dreck am Stecken hat.
enus_dede_29.mp3	 Das Lob ging runter wie Öl.
enus_dede_30.mp3	 So eine tolle Resonanz beim Publikum geht runter wie Öl.
enus_dede_31.mp3	 Ich weiß nicht mehr weiter. Hier ist Ende im Gelände.
enus_dede_32.mp3	 Das war's, Ende im Gelände.
enus_dede_33.mp3	 Wenn es dir nicht passt, kannst du dich beim Salzamt beschweren.
enus_dede_34.mp3	 Beschwer dich doch beim Salzamt.
enus_dede_35.mp3	 Da er neu war, nahm ich ihn unter meine Fittiche.
enus_dede_36.mp3	 Zum Glück nahm sie den kleinen Jungen unter ihre Fittiche.
enus_dede_37.mp3	 Es ist Jacke wie Hose, was ich zu dir sage.
enus_dede_38.mp3	 Es ist egal, welches Haus du auswählst. Es ist Jacke wie Hose.
enus_dede_39.mp3	 Er ging mir dermaßen auf den Keks, dass ich ihn rausschmiss.
enus_dede_40.mp3	 Geh mir doch nicht so auf den Keks.
enus_dede_41.mp3	 Wir werden das Kind schon schaukeln.
enus_dede_42.mp3	 Gemeinsam werden wir das Kind schon schaukeln.
enus_dede_43.mp3	 Er nahm in Kauf, dass sie bereits ein Kind hatte.
enus_dede_44.mp3	 Er musste das Wetter eben in Kauf nehmen.
enus_dede_45.mp3	 Wir sollten die Kirche im Dorf lassen und erstmal abwarten.
enus_dede_46.mp3	 Du übertreibst. Lass doch die Kirche im Dorf.
enus_dede_47.mp3	 Wenn du hier lang fährst, fährst du mit der Kirche ums Kreuz.
enus_dede_48.mp3	 Wir haben keine Zeit, um mit der Kirche ums Kreuz zu fahren.
enus_dede_49.mp3	 Wen du auch kennenlernst, jeder hat sein Päckchen zu tragen.
enus_dede_50.mp3	 Damit bist du nicht allein. Jeder hat sein Päckchen zu tragen.
enus_dede_51.mp3	 Du verdienst zwar nicht viel, aber Kleinvieh macht auch Mist.
enus_dede_52.mp3	 Vergiss nicht, dass auch klein viel Mist macht.
enus_dede_53.mp3	 Hier drinnen sieht es aus wie Kraut und Rüben.
enus_dede_54.mp3	 Das Kleid sieht wie Kraut und Rüben aus.
enus_dede_55.mp3	 Er hat viel Kreide gefressen, um den Frieden zu bewahren.
enus_dede_56.mp3	 Einer in der Gruppe muss eben Kreide fressen.
enus_dede_57.mp3	 Er machte sich vor lauter Angst fast in die Hose.
enus_dede_58.mp3	 Bei dem Gedanken allein machte sie sich schon in die Hose.
enus_dede_59.mp3	 Der Journalist kam wegen seines Artikels ins Kreuzfeuer.
enus_dede_60.mp3	 Nach den Aussagen der Schüler geriet der Lehrer ins Kreuzfeuer.
enus_dede_61.mp3	 Er schob auf der Arbeit eine ruhige Kugel.
enus_dede_62.mp3	 Er fiel seinem Arbeitgeber dadurch auf, dass er immer eine ruhige Kugel schob.
enus_dede_63.mp3	 Niemand kann es reparieren. Sogar die Fachleute sind mit ihrem Latein am Ende.
enus_dede_64.mp3	 Ich weiß auch nicht, wie ich dir noch helfen kann. Ich bin mit meinem Latein am Ende.
enus_dede_65.mp3	 Er musste überall einspringen und den Lückenbüßer spielen.
enus_dede_66.mp3	 Sie möchte endlich einen festen Job und nicht immer nur Lückenbüßerin spielen.
enus_dede_67.mp3	 Wir sollten Gras über die Sache wachsen lassen.
enus_dede_68.mp3	 Wenn genug Zeit verstreicht, kann Gras über die Sache wachsen.
enus_dede_69.mp3	 Das kann nicht so passiert sein, das ist doch an den Haaren herbeigezogen.
enus_dede_70.mp3	 An Petras Geschichte ist nichts dran, die ist doch an den Haaren herbeigezogen.
enus_dede_71.mp3	 Er musste einen Gang herunterschalten, um nicht in den Burnout zu schlittern.
enus_dede_72.mp3	 Für Inge wurde es Zeit, einen Gang herunterzuschalten.
enus_dede_73.mp3	 Das Projekt steckt noch in den Kinderschuhen.
enus_dede_74.mp3	 Ich kann es noch nicht abschätzen, da das Vorhaben noch in den Kinderschuhen steckt.
enus_dede_75.mp3	 Er hatte eine Idee, aber die Umsetzung steckte noch in den Windeln.
enus_dede_76.mp3	 Ich kann mir noch nichts darunter vorstellen, da es noch in den Windeln steckt.
enus_dede_77.mp3	 Die Angst steckte mir noch in den Gliedern.
enus_dede_78.mp3	 Die Anstrengung der letzten Tage steckte ihm noch in den Gliedern.
enus_dede_79.mp3	 Das Lachen bleibt mir im Hals stecken.
enus_dede_80.mp3	 Ich konnte nichts sagen, die Worte blieben mir im Hals stecken.
enus_dede_81.mp3	 Das lässt mir das Blut in den Adern gefrieren.
enus_dede_82.mp3	 Der Film lässt ihm das Blut in den Adern gefrieren.
enus_dede_83.mp3	 Du vergleichst hier ja Äpfel mit Birnen.
enus_dede_84.mp3	 Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
enus_dede_85.mp3	 Wir haben uns verfahren und sind jetzt am Arsch der Welt.
enus_dede_86.mp3	 Wieso führst du mich an den Arsch der Welt?
enus_dede_87.mp3	 Es wäre besser, wenn du den Ball flach halten würdest.
enus_dede_88.mp3	 Er hielt den Ball flach und versteckte sich.
enus_dede_89.mp3	 Schieb das nicht auf die lange Bank und erledige es gleich.
enus_dede_90.mp3	 Du schiebst deine Hausarbeiten wieder auf die lange Bank.
enus_dede_91.mp3	 Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
enus_dede_92.mp3	 Philipp bekommt nichts und schaut schon wieder durch die Finger.
enus_dede_93.mp3	 Die Party ist ein Wahnsinn. Hier steppt ja richtig der Bär.
enus_dede_94.mp3	 Ich möchte endlich wieder auf eine Feier, wo der Bär steppt.
enus_dede_95.mp3	 Er hat dir einen Bären aufgebunden, denn das stimmt so nicht.
enus_dede_96.mp3	 Ich habe es satt, dass ihr mir ständig einen Bären aufbindet.
enus_dede_97.mp3	 Du hast mir mit deinem Gefallen einen Bärendienst erwiesen.
