Audio File	Transcription
dede_0.mp3	 San Francisco, es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen.
dede_1.mp3	 In letzter Zeit allerdings ist dies schwieriger denn je, ist doch der Goldpreis im letzten Jahrzehnt um über 300% angestiegen.
dede_2.mp3	 Erst letzten Dezember verfassten meine Kollegen Martin Feldstein und Nouriel Roubini Kommentare, in denen sie mutig die vorherrschende optimistische Marktstimmung hinterfragten und sehr überlegt auf die Risiken des Goldes hinwiesen.
dede_3.mp3	 Und es kam, wie es kommen musste.
dede_4.mp3	 Seit der Veröffentlichung ihrer Artikel ist der Goldpreis noch weiter gestiegen.
dede_5.mp3	 Jüngst erreichte er sogar ein Rekordhoch von 1.300 Dollar.
dede_6.mp3	 Im letzten Dezember argumentierten die Goldbooks, dass der Preis zweifellos in Richtung 2000 Dollar gehen würde.
dede_7.mp3	 Beflügelt aufgrund des anhaltenden Aufwärtstrends, meint man nun mancherorts, dass Gold sogar noch höher steigen könnte.
dede_8.mp3	 Ein erfolgreicher Goldinvestor erklärte mir vor kurzem, dass die Aktienkurse über ein Jahrzehnt dahinge dümpelt waren, bevor der Dow Jones Index in den frühen 1980er Jahren die Marke von 1000 Punkten überschritt.
dede_9.mp3	 Seit damals ist er auf über 10.000 Punkte gestiegen.
dede_10.mp3	 Nun hat Gold die magische Grenze von 1000 Dollar überschritten, warum sollte sich sein Wert daher nicht auch verzehnfachen?
dede_11.mp3	 Zugegeben, es bedarf keiner großen Fantasie, um sich einen noch höheren Goldpreis vorzustellen.
dede_12.mp3	 Denn inflationsbereinigt erreicht der Goldpreis von heute nicht annähernd das Allzeithoch von Januar 1980.
dede_13.mp3	 Damals lag Gold bei 850 Dollar, also in heutigem Geldwert um einiges über 2000 Dollar.
dede_14.mp3	 Allerdings gab es im Januar 1980 offensichtlich einen Freak-Peak in einer Zeit erhöhter geopolitischer Instabilität.
dede_15.mp3	 Bei einem Wert von 1.300 Dollar ist der heutige Preis wohl doppelt so hoch wie die sehr langfristigen, inflationsbereinigten Durchschnittsgoldpreise.
dede_16.mp3	 Was also könnte einen weiteren kolossalen Anstieg des Goldpreises von diesem Wert aus begründen?
dede_17.mp3	 Eine Möglichkeit wäre natürlich der totale Zusammenbruch des US-Dollars.
