Audio File	Translation
ruru_0.mp3	Сан-Франциско. Разговор о стоимости золота редко получается рациональным, тем более в последнее время, так как цены на золото выросли более чем на 300 процентов за десятилетие.
ruru_1.mp3	Еще в декабре прошлого года экономисты коллеги Мартин Филдштейн и Нуриэль Рубини опубликовали свои пророческие статьи в колонках альтернативных мнений, храбро ставя в них под вопрос стремление игры на повышение, благоразумно указывая на риски золота.
ruru_2.mp3	И что бы вы думали?
ruru_3.mp3	С тех пор, как вышли их статьи, стоимость золота повысилась еще больше.
ruru_4.mp3	Недавно цена на золото даже достигла рекордной отметки в 1300 долларов за унцию.
ruru_5.mp3	В декабре прошлого года многие сторонники сохранения денежных функций золота утверждали, что его цена неизбежно дойдет до двух тысяч долларов.
ruru_6.mp3	Теперь воодушевленные постоянным ростом цен, некоторые считают, что цена на золото может вырасти еще сильнее.
ruru_7.mp3	Один успешный инвестор в золото недавно объяснил мне что цена акций падала в течение более десятилетия прежде чем в начале 1980-х годов индекс доу джонса пересек тысячу отметку
ruru_8.mp3	С тех пор данный индекс постоянно рос и уже превысил десять тысяч отметку.
ruru_9.mp3	Теперь когда цена на золото пересекла магический барьер в тысячу долларов не может ли она также вырасти в десять раз
ruru_10.mp3	Следует признать, что еще более значительное повышение цены на золото не так нереально, как может показаться.
ruru_11.mp3	При поправке на инфляцию сегодняшней цене весьма далеко до рекордного уровня января 1980 года. Тогда золото достигло цены 850 долларов, что значительно больше сегодняшних 2000 долларов.
ruru_12.mp3	Но январь 1980 года был, как известно, нервным скачком во время периода повышенной геополитической нестабильности.
ruru_13.mp3	При 1300 долларах сегодняшняя цена, вероятно, более чем в два раза выше очень долговременной средней цены на золото с поправкой на инфляцию.
ruru_14.mp3	Что же может оправдать очередной значительный рост цен на золото, начиная с сегодняшнего дня?
ruru_15.mp3	Один из ответов, конечно, это полный обвал американского доллара.
ruru_16.mp3	При стремительно растущем дефиците и непродуманной налогово-бюджетной политике поневоле задашься вопросом: не станет ли сегодняшняя популистская администрация опрометчиво печатать новые деньги?
ruru_17.mp3	И если вы действительно беспокоитесь по этому поводу, золото и правда может стать самой надежной защитой.
ruru_18.mp3	Безусловно, кое кто может возразить, что облигации, индексированные с учетом инфляции, являются лучшей и более прямой защитой от инфляции, чем золото.
ruru_19.mp3	но сторонники сохранения денежных функций золотоправы когда беспокоятся о том станет ли правительство сдерживать свои обещания в более сложных обстоятельствах
ruru_20.mp3	как пишу я и кармен райнхардт в нашей недавно вышедшей книге на этот раз все по-другому the time is different по истории финансовых кризисов правительство которому не хватает наличности часто принудительно переводит индексированный долг в неиндексированный с тем расчетом чтобы его стоимость была стерта инфляцией
ruru_21.mp3	даже США упразднили статьи об индексации по облигационным договорам во время великой депрессии 1930-х года так что это может произойти где угодно
ruru_22.mp3	Тем не менее тот факт, что очень высокая инфляция возможна, не увеличивает ее вероятности, поэтому следует с осторожностью утверждать, что рост цен на золото вызывается ожиданием роста инфляции.
ruru_23.mp3	Наоборот, многие утверждают, что длительный рост цен на золото частично вызван разработкой новых финансовых инструментов, облегчающих торговлю и спекуляцию золотом.
ruru_24.mp3	В данном утверждении, вероятно, есть крупица истины, а также доля иронии.
ruru_25.mp3	в конце концов средневековые алхимики занимались поиском способов превращения простых металлов в золото что сегодня считается полным абсурдным
ruru_26.mp3	в таком случае не будет ли парадоксальным если финансовая алхимия сможет повысить стоимость слитка золота в раза
ruru_27.mp3	С моей точки зрения, наиболее сильным аргументом, оправдывающим сегодняшнюю высокую стоимость золота, является значительное усиление Азии, Латинской Америки и Ближнего Востока в мировой экономике.
ruru_28.mp3	По мере повышения покупательной способности легионов новых потребителей спрос неизбежно растет, стимулируя рост цен дефицитных товаров.
ruru_29.mp3	в то же время центральным банкам развивающихся стран необходимо накапливать золотой резерв размер которого у них по-прежнему гораздо меньше чем у центральных банков богатых стран
ruru_30.mp3	Поскольку евро выглядит все менее аппетитным средством диверсификации для противовеса доллару, привлекательность золота естественным образом повысилась.
ruru_31.mp3	итак действительно существуют железные истины которые по видимому поддерживают сегодняшнюю высокую цену на золото хотя куда более спорно будут ли они и далее поддерживать высокие цены в будущем и если да то в какой степени
ruru_32.mp3	Вообще, другой важнейший фундаментальный фактор, поддерживающий высокие цены на золото, может оказаться гораздо менее значимым, чем глобализация.
ruru_33.mp3	Цены на золото чрезвычайно чувствительны к мировым движениям процентных ставок.
ruru_34.mp3	В конце концов, за золото не выплачиваются проценты, а за его хранение даже приходится тратить некоторые средства.
ruru_35.mp3	Сегодня, когда процентные ставки во многих странах достигли рекордно низкого уровня или приближаются к нему, спекуляция на золото является довольно недорогой, в отличие от инвестирования в облигации.
ruru_36.mp3	Но если реальные процентные ставки значительно повысятся, что однажды все-таки произойдет, цены на золото резко упадут.
